Aika;Kulutus (netotettu) kWh;Tuotanto (netotettu) kWh;Vuorokauden keskilämpötila
2024-01-01T00:00:00.000+02:00;1,569;0,000;-4,9
2024-01-01T01:00:00.000+02:00;1,879;0,000;-4,9
2024-01-01T02:00:00.000+02:00;1,382;0,000;-4,9
2024-01-01T03:00:00.000+02:00;3,005;0,000;-4,9
2024-01-01T04:00:00.000+02:00;1,843;0,000;-4,9
2024-01-01T05:00:00.000+02:00;1,995;0,000;-4,9
2024-01-01T06:00:00.000+02:00;1,920;0,000;-4,9
2024-01-01T07:00:00.000+02:00;1,713;0,000;-4,9
2024-01-01T08:00:00.000+02:00;4,262;0,000;-4,9
2024-01-01T09:00:00.000+02:00;4,588;0,000;-4,9
2024-01-01T10:00:00.000+02:00;3,454;0,000;-4,9
2024-01-01T11:00:00.000+02:00;4,058;0,000;-4,9
2024-01-01T12:00:00.000+02:00;4,392;0,000;-4,9
2024-01-01T13:00:00.000+02:00;4,046;0,000;-4,9
2024-01-01T14:00:00.000+02:00;4,508;0,000;-4,9
2024-01-01T15:00:00.000+02:00;3,556;0,000;-4,9
2024-01-01T16:00:00.000+02:00;3,297;0,000;-4,9
2024-01-01T17:00:00.000+02:00;3,642;0,000;-4,9
2024-01-01T18:00:00.000+02:00;1,854;0,000;-4,9
2024-01-01T19:00:00.000+02:00;1,951;0,000;-4,9
2024-01-01T20:00:00.000+02:00;1,672;0,000;-4,9
2024-01-01T21:00:00.000+02:00;3,051;0,000;-4,9
2024-01-01T22:00:00.000+02:00;1,851;0,000;-4,9
2024-01-01T23:00:00.000+02:00;1,903;0,000;-4,9
2024-01-02T00:00:00.000+02:00;1,870;0,000;-7,4
2024-01-02T01:00:00.000+02:00;3,104;0,000;-7,4
2024-01-02T02:00:00.000+02:00;3,102;0,000;-7,4
2024-01-02T03:00:00.000+02:00;1,749;0,000;-7,4
2024-01-02T04:00:00.000+02:00;3,215;0,000;-7,4
2024-01-02T05:00:00.000+02:00;3,090;0,000;-7,4
2024-01-02T06:00:00.000+02:00;3,157;0,000;-7,4
2024-01-02T07:00:00.000+02:00;3,295;0,000;-7,4
